KXCRICKETODIMATCH	Cricket ODI Match	Sports
KXNHLGAME	NHL Game	Sports
KXWMARMAD	March Tournament (W)	Sports
KXWBCGROUPQUAL	WBC Pool Qualifiers	Sports
KXNCAABBGS	College Baseball Golden Spikes Award	Sports
KXSOCCERTOTAL	Soccer Goal Total	Sports
KXNFLEXACTWINSWAS	Pro football exact wins Washington	Sports
KXNCAAMBASUN	Atlantic Sun Conference Tournament	Sports
KXSTANCOACH	Stanford Next Coach	Sports
KXVALORANTGAMETEAMVSMIBR	TEAM VS. MIBR	Sports
KXMLBWORSTRECORD	Pro Baseball Best Record	Sports
KXUFCLHEAVYWEIGHTTITLE	UFC Light Heavyweight Title	Sports
KXMLBHIT	Pro Baseball Hits	Sports
KXUFASOUTH	Ultimate Frisbee Association South Division Winner	Sports
KXEFLCUP	EFL Cup Winner	Sports
KXWNBAMVP	Pro Women's Basketball MVP	Sports
KXNFLDPOY	NFL Defensive Player of the Year	Sports
KXSERIEBGAME	Serie B Game	Sports
KXUCLRO4	UCL Advance to Round of 4	Sports
KXNBASOUTHWEST	NBA Southwest Division Winner	Sports
KXNCAAFD3	D3 College Football Champion	Sports
KXCLUBWCGF	Club World Club Group F	Sports
KXGOLFMAJORS	Golf Majors Won	Sports
KXNBAPA	Pro Basketball Points + Assists	Sports
KXNBACOY	Pro Basketball Coach of the Year	Sports
KXNFLNFCCHAMP	National Football Conference Champion	Sports
KXNFLAFCSOUTH	American Football Conference South Winner	Sports
KXNCAAMBWAC	Western Athletic Conference Tournament	Sports
KXKLEAGUEGAME	Korea K League Game	Sports
KXO13MENSINGLES	Open 13 (Marseille) Mens' Singles	Sports
KXCBAGAME	Chinese Basketball Association Game 	Sports
KXWCCREG	West Coast Conference Regular Season Champions	Sports
KXFIFAGAME	Fifa Game	Sports
KXNFLDRAFT1ST	Make the 1st pick in NFL Draft	Sports
KXNBA2QTOTAL	NBA 1st Quarter Total	Sports
KXNCAAFCSGAME	College Football FCS Game	Sports
KXNBADRAFTTRADE	NBA Draft Trade	Sports
KXPGARYDERCUPD2	Ryder Cup Day 2 Winner	Sports
KXMULTIPREPACK	Cross Sport Prepack	Sports
KXNCAAF	NCAAF Championship	Sports
KXNFLSHORTESTTD	Pro Football Shortest Touchdown	Sports
KXEWCMOBILELEGENDSBBWOMENS	Mobile Legends: Bang Bang Women's Invitational at 2025 Esports World Cup	Sports
KXEWSLGAME	England Women's Super League Game	Sports
KXNCAAMBBIGEAST	Big East Conference Tournament	Sports
KXTEAMSINWS	Teams in MLB Finals	Sports
KXNWSLGAME	NWSL Game	Sports
KXBBSERIEAGAME	Italy Serie A Basketball Game	Sports
KXNFLMOSTRSHYDS	Pro Football Most Rushing Yards	Sports
KXCSGOGAME	Counter-Strike 2 Games	Sports
KXMLBWINS-SF	Pro baseball wins San Francisco	Sports
KXMARMAD	College Basketball Champion	Sports
KXNYKCOACH	KNICKS	Sports
KXPICKLEBALL	pickleball	Sports
KXMARMADSEEDDIF	March Madness Biggest Upset	Sports
KXNFLLARGESTLEAD	Pro Football Largest Lead	Sports
KXNCAAFBB12	Big 12 Champion	Sports
KXMLBWINS-CLE	Pro baseball wins Cleveland	Sports
KXCSGOMAP	CSGO Map Winner	Sports
KXNEWCOACHCHIBEARS	Chicago Bears new coach	Sports
KXWO-MEDALS	Winter Olympics Most Medals	Sports
KXNBA2HWINNER	Pro Basketball 2nd Half Winner	Sports
KXINTERCUPADVANCE	Intercontinental Cup To Advance	Sports
KXLIVTOUR	LIV Tour	Sports
KXT20FOUR	T20 Total Fours	Sports
KXNFLPREPACKSGPSPREAD	MVE NFL Pre Pack	Sports
KXBUNDESLIGASPREAD	Bundesliga Spread	Sports
KXEPLSPREAD	English Premier League Spread	Sports
KXATPRANK	ATP #1 Ranked Player	Sports
KXNFLAFCEAST	American Football Conference East Winner	Sports
KXCHOVYMVPBP	Will Chovy be the MVP of the Worlds finals	Sports
KXPGASOLHEIM	Solheim Cup	Sports
KXPHOENIXOPEN	Phoenix Open	Sports
KXCHNSLGAME	Chinese Super League Game	Sports
KXPGAMAJORWIN	PGA Major Winner	Sports
KXNASCAR	NASCAR Cup Series playoffs	Sports
KXUFLXFLCONF	UFL XLF Conference Champion	Sports
KXMLBSERIESEXACT	Professional Baseball Series Exact Result	Sports
KXIPLFINAL	IPL Final	Sports
KXAFRICAF1	Africa F1 grand prix	Sports
KXNCAAMBOV	Ohio Valley Conference Tournament	Sports
KXF1	Formula 1	Sports
KXSHLGAME	SHL Game	Sports
KXNBASHOOTINGSTARS	Pro Basketball Shooting Stars Contest	Sports
KXSPELLINGBEE	Who will win the SF Inaugural Spelling Bee	Sports
KXNCAAFPREPACKSGP	MVE NCAAF Pre Pack	Sports
KXNFLGAMEFG	Pro Football Field Goals	Sports
KXNFLDROTY	AP Pro Football Defensive Rookie of the Year	Sports
KXWNBADRAFTTOP3	WNBA Draft Top 3	Sports
KXUCL	UEFA Champions League	Sports
KXIEMCHEN	Who will win the IEM Chengdu 2025	Sports
KXNFLEXACTWINSIND	Pro football exact wins Indianapolis	Sports
KXWOMHOCKEYSPREAD	Winter Olympics Men's Hockey Spread	Sports
KXSOCCERTRANSFER	Soccer Transfer	Sports
KXVALORANT	Valorant Tournament Winner	Sports
KXKNVBCUP	KNVB Cup Winner	Sports
KXBRASILEIROGAME	Brasileiro Serie A Game	Sports
KXNBA1QWINNER	NBA 1st Quarter Winner	Sports
KXMCGREGORFIGHTNEXT	McGregor fight next	Sports
KXSERIEATOTAL	Serie A Total	Sports
KXMLBWINS-ATH	Pro baseball wins A's	Sports
KXNBAWINRECORD	OKC NBA Win Record	Sports
KXTENNISEXHIBITION	Tennis Exhibition Match	Sports
KXNBASTL	Pro Basketball Player Steals	Sports
KXSPORTSIGNPEREZ	Perez	Sports
KXNHLCALDER	NHL Calder Memorial Trophy	Sports
KXALEAGUEGAME	Australian A League Game	Sports
KXREBOOT	Reboot	Sports
KXSTARTINGQBWEEK1	NFL Starting QB Week 1	Sports
KXUCLFINALIST	UCL Advance to the Finals	Sports
KXFOODCONSUMEDSOURAJI	X	Sports
KXT20SIXES	Cricket Number of Sixes	Sports
KXNBA3PTCONTEST	NBA 3-Point Contest Winner	Sports
KXUEL16GALAZA	Europa League round of 16 - GAL AZA	Sports
KXLIVTOP10	Liv Top 10 Finisher	Sports
KXUCLADVANCE	Champions League Advance	Sports
KXNBA3QWINNER	NBA 3rd Quarter Winner	Sports
KXATPNEXTGEN	ATP Next Gen Finals	Sports
KXNFLFIRSTTDTIME	Pro Football First Touchdown Time	Sports
KXNBADRAFTCAT	Pro Basketball Draft Category	Sports
KXTOURDEFRANCE	Tour de France winner	Sports
KXNCAAMBGAME	Men's College Basketball Men's Game	Sports
KXNFLWINS-NE	Pro football wins New England	Sports
KXNFLWINS-ARI	Pro football wins Arizona	Sports
KXLIIGAGAME	Liiga Game	Sports
KXMANTISFREETHROW	MANTIS FREE THROWS	Sports
KXBUNDESLIGABTTS	Bundesliga BTTS	Sports
KXMLBWORLD	World Baseball Classic	Sports
KXCHESSTTLATE	Chess Titled Tuesday Late	Sports
KXATPGAMETOTAL	ATP Total Games	Sports
KXNHLHART	NHL Hart Memorial Trophy	Sports
KXNBAWEST1SEED	NBA Western Conference 1 Seed	Sports
KXBIG12REG	Big 12 Regular Season Champions	Sports
KXVALPLPHIL	Valorant Predator League Phillippines	Sports
KXWTAMIA	WTA Miami	Sports
KXNFL1QTOTAL	Pro Football 1st Quarter Total	Sports
KXPGATIGER	Tiger Woods PGA	Sports
KXATPWDDF	ATP Tour Dubai Duty Free	Sports
KXNBATOTAL	Pro Basketball Total Points	Sports
KXNFLDPOTY	AP Pro Football Defensive Player Of The Year	Sports
KXMARMADPTS	Men's March Madness Points	Sports
KXWO-HOCKEY	Winter Olympics Hockey	Sports
KXEPLGOAL	EPL Goalscorer	Sports
KXMLBALWEST	American League West Winner	Sports
KXNFLPLAYOFF	Pro Football Playoff Qualifiers	Sports
KXNFLWINS-CAR	Pro football wins Carolina	Sports
KXMLBSTATCOUNT	Pro Baseball Season Stat	Sports
KXNHLTOTAL	NHL Goal Total	Sports
KXNCAAMBIGEAST	Big East Men's basketball tournament	Sports
KXNFLDROY	NFL Defensive Rookie of the Year	Sports
KXWTAMATCH	WTA Tennis Match	Sports
KXNFLEXACTWINSNYJ	Pro football exact wins New York J	Sports
